整合編號,食品分類,樣品名稱,熱量-成分值(kcal),水分-成分值(g),粗蛋白-成分值(g),粗脂肪-成分值(g),總碳水化合物-成分值(g),膳食纖維-成分值(g)
R10801,加工調理食品類,冷凍蝦丸,122,69.3,10.8,2.3,14.7,0
R10901,加工調理食品類,冷凍蝦捲,155,65.3,10.3,5.7,16,1.4
R11001,加工調理食品類,冷凍蝦餅,126,69.6,9.6,2.1,17.3,1.6
R11101,加工調理食品類,冷凍魷魚圈,143,63,15.7,0.4,19.2,0
R11201,加工調理食品類,香筍鮪魚罐頭,259,63.1,10,24.1,0.9,1.4
R11301,加工調理食品類,茄汁鯖魚罐頭,116,73.5,17.6,3.8,2.8,0.7
R11401,加工調理食品類,冷凍魚卵卷,114,69,12.9,0.1,15.7,0
R11402,加工調理食品類,冷凍蟹味棒,115,69.2,9.3,0.3,19,0
R11501,加工調理食品類,冷凍小香腸,247,57.5,14.8,17.8,7.4,0.4
R11601,加工調理食品類,冷凍花枝餃,167,60.6,12.4,3.9,21,0
R11602,加工調理食品類,冷凍香菇餃,231,59.7,12.3,15.3,11.5,1.1
R11603,加工調理食品類,冷凍蛋餃,182,70,12.1,14.1,2,0.5
R11604,加工調理食品類,冷凍雪螺餃,202,59.1,11.6,10,16.7,1.1
R11605,加工調理食品類,冷凍魚餃,275,52.2,12.5,19.5,12.9,0
R11606,加工調理食品類,冷凍蝦餃,271,53.1,11.4,19.3,13.5,0
R11607,加工調理食品類,冷凍燕餃,313,47,12.8,22.3,15.7,0
R11701,加工調理食品類,沖泡濃湯(海鮮),341,3.4,11.2,4.5,64.4,4.7
R11702,加工調理食品類,玉米濃湯調理包,367,3.4,4.4,5.9,74.7,2.8
